"term"	"estimate"	"std.error"	"statistic"	"p.value"	"concept"	"p.corrected"
"72"	"log_following"	0.000371805742628811	0.000102787321162468	3.61723351113632	0.000297805270218263	"vermin"	0.000297805270218263
"73"	"log_statuses"	0.000882621555251988	7.39194832946092e-05	11.9403101308793	7.38962969224415e-33	"vermin"	7.38962969224415e-33
"74"	"ideology:magnitude"	0.00180510524344978	0.000256354476298619	7.04144226195242	1.905643041234e-12	"vermin"	1.905643041234e-12
"75"	"year:month"	1.40064607528912e-07	1.37738588514801e-08	10.1688719943475	2.7491843452781e-24	"vermin"	2.7491843452781e-24
"76"	"(Intercept)"	0.191668988316008	0.00283405826390166	67.6305744159741	0	"war"	0
"77"	"ideology"	0.0171576025122243	0.000391786898168024	43.79320133586	0	"war"	0
"78"	"magnitude"	-0.000115693898793737	0.000515287075354258	-0.224523191687271	0.822350337842362	"war"	0.822350337842362
"79"	"has_hashtag"	0.00516253017576552	0.000675726276701294	7.63997250627508	2.1774700187505e-14	"war"	2.1774700187505e-14
"80"	"has_mention"	-0.0107695001532026	0.000583860379367325	-18.4453347645759	6.11346195507373e-76	"war"	6.11346195507373e-76
"81"	"has_url"	-0.00134192557594361	0.000711688952975716	-1.88555066132859	0.0593562554635959	"war"	0.0593562554635959
"82"	"is_quote_status"	-0.00569544568957871	0.000646205314239548	-8.8136781980524	1.21574662594492e-18	"war"	1.21574662594492e-18
"83"	"is_reply"	-0.00545801884401722	0.000617115664643121	-8.84440171709722	9.23815374659355e-19	"war"	9.23815374659355e-19
"84"	"is_verified"	-0.0129195966751312	0.00116877700076377	-11.053944992662	2.11787454941159e-28	"war"	2.11787454941159e-28
"85"	"log_chars"	-0.0204397558719599	0.000539383246087648	-37.8946806750436	1.14112016455331e-313	"war"	1.14112016455331e-313
"86"	"log_followers"	-0.000271350963122099	0.000199842541421465	-1.357823820654	0.174520360430963	"war"	0.174520360430963
"87"	"log_following"	0.000336498325589604	0.000220861967583543	1.52356844988407	0.127617340097452	"war"	0.127617340097452
"88"	"log_statuses"	0.00211712603729729	0.000158832843764855	13.3292711199681	1.59569542685835e-40	"war"	1.59569542685835e-40
"89"	"ideology:magnitude"	0.00528259959982464	0.000550835972703953	9.59014999309745	8.84333420814655e-22	"war"	8.84333420814655e-22
"90"	"year:month"	7.92593987494168e-07	2.95962725047329e-08	26.7801963023357	7.58470354267684e-158	"war"	7.58470354267684e-158
"91"	"(Intercept)"	0.082673072341947	0.00190147730958941	43.4783375668042	0	"water"	0
"92"	"ideology"	0.0166229264631278	0.000262864707670231	63.2375742276578	0	"water"	0
"93"	"magnitude"	-0.00241593099253337	0.000345725666331893	-6.98800010472496	2.79264929451643e-12	"water"	2.79264929451643e-12
"94"	"has_hashtag"	0.0104011363567764	0.000453370419023054	22.9418063472014	2.11623209042765e-116	"water"	2.11623209042765e-116
"95"	"has_mention"	0.00552645754945259	0.000391734099992291	14.1076754603731	3.49243985080857e-45	"water"	3.49243985080857e-45
"96"	"has_url"	-0.0129368477455458	0.000477499144179812	-27.0929234182546	1.67161923441327e-161	"water"	1.67161923441327e-161
"97"	"is_quote_status"	-0.0071835664516473	0.000433563684280427	-16.5686534922076	1.23128813276637e-61	"water"	1.23128813276637e-61
"98"	"is_reply"	-0.0181254435016007	0.000414046333717788	-43.7763651687226	0	"water"	0
"99"	"is_verified"	0.00194104245559043	0.000784176872871579	2.47526103196912	0.0133142937696358	"water"	0.0133142937696358
"100"	"log_chars"	-0.00107390319345183	0.00036189270230329	-2.96746297070072	0.00300286212795773	"water"	0.00300286212795773
"101"	"log_followers"	-0.0037112749101866	0.00013408194984688	-27.6791537893418	1.79696814920139e-168	"water"	1.79696814920139e-168
"102"	"log_following"	0.00259409856584607	0.000148184681049292	17.505848428308	1.37150620483118e-68	"water"	1.37150620483118e-68
"103"	"log_statuses"	0.00431868927929246	0.000106566986389561	40.5255832561998	0	"water"	0
"104"	"ideology:magnitude"	0.00317309421992709	0.000369576771495238	8.58575122859952	9.0560037865993e-18	"water"	9.0560037865993e-18
"105"	"year:month"	-6.12293847039483e-08	1.98572631102856e-08	-3.08347552046248	0.00204611867141019	"water"	0.00204611867141019
"106"	"(Intercept)"	0.00541210758841563	0.00678531934773727	0.797620172471386	0.425091414613184	"overall"	0.425091414613184
"107"	"ideology"	0.0955452307544452	0.000938018548944589	101.858572905565	0	"overall"	0
"108"	"magnitude"	-0.0101364007433352	0.00123370341625465	-8.21623788163606	2.10603269274785e-16	"overall"	2.10603269274785e-16
"109"	"has_hashtag"	-0.0375753312632659	0.00161782791746968	-23.2257898738913	2.99953001591191e-119	"overall"	2.99953001591191e-119
"110"	"has_mention"	-0.0244506581686778	0.00139788203332287	-17.4912171312173	1.77281747164547e-68	"overall"	1.77281747164547e-68
"111"	"has_url"	0.0362304955206194	0.00170392997339047	21.2629016957359	2.84705644087619e-100	"overall"	2.84705644087619e-100
"112"	"is_quote_status"	-0.0342243946309276	0.00154714865151847	-22.1209478464384	2.30902244375044e-108	"overall"	2.30902244375044e-108
"113"	"is_reply"	-0.0250941699364623	0.00147750203742459	-16.984186350229	1.13313177160776e-64	"overall"	1.13313177160776e-64
"114"	"is_verified"	-0.0357884080390065	0.00279829292766717	-12.7893715790655	1.91195915449925e-37	"overall"	1.91195915449925e-37
"115"	"log_chars"	-0.00235209836584248	0.00129139461320928	-1.82136299918211	0.0685524423669931	"overall"	0.0685524423669931
"116"	"log_followers"	-0.00717652472733024	0.000478464215108001	-14.9990835275117	7.68532049068089e-51	"overall"	7.68532049068089e-51
"117"	"log_following"	0.00468363288650564	0.000528789051697469	8.85728036817457	8.2314128221701e-19	"overall"	8.2314128221701e-19
"118"	"log_statuses"	0.0113321946697365	0.000380278550226444	29.7997209229618	6.45116416227127e-195	"overall"	6.45116416227127e-195
"119"	"ideology:magnitude"	0.0278909501467174	0.00131881480018418	21.1484964703325	3.22968348828853e-99	"overall"	3.22968348828853e-99
"120"	"year:month"	5.41462216033058e-07	7.08595737092569e-08	7.64134170852799	2.15443838672673e-14	"overall"	2.15443838672673e-14
